Region/Sub-Region or Country of Birth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All Countries (total),644787,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031,1183505,1127167,1096611
Africa,36572,44529,53723,60094,48633,66412,85091,117416,94709,105915,127046,101355,100374,107241,98304,98413,101415,113426,118824,115736
Eastern Africa,8839,10778,13373,18426,14901,21266,26530,41295,31731,36558,49419,34498,34001,35539,30044,30241,31618,35047,39311,39582
Burundi,16,28,79,120,74,100,186,320,257,255,1505,841,593,535,260,273,351,415,1094,762
Comoros,X,X,X,X,X,X,6,7,7,D,3,4,8,10,D,9,5,4,4,8
Djibouti,6,14,22,30,16,37,50,34,23,39,54,37,56,106,90,190,370,281,222,281
Eritrea,325,382,540,560,556,675,796,1593,1081,1270,1928,1656,2102,2643,2138,2002,2220,2267,2449,2428
Ethiopia,4262,4053,5092,7565,6635,8286,10571,16152,12786,12917,15462,14266,13793,14544,13097,12300,11394,13232,14637,12403
Kenya,1407,2197,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421,7762,7043,6123,5884,5602,6274,6957,7190
Madagascar,26,33,61,43,40,54,60,72,53,77,71,80,83,79,95,86,72,88,60,79
Malawi,41,61,70,56,62,83,131,131,123,133,164,164,123,192,159,172,160,205,228,257
Mauritius,38,54,84,83,57,65,99,108,88,83,110,84,101,77,83,81,96,110,96,67
Mozambique,31,41,48,54,36,59,54,78,81,69,66,53,60,94,73,71,107,101,96,100
Rwanda,97,73,148,217,109,163,276,502,357,378,952,489,520,592,540,555,732,1357,1394,1620
Seychelles,10,18,18,20,16,25,16,15,7,16,10,8,15,7,6,7,11,16,10,6
Somalia,1690,2393,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558,4451,5204,3764,5190,6796,6958,7404,7557
Tanzania,313,480,476,577,554,747,829,949,832,838,2773,1850,1427,1516,837,774,799,788,1415,3186
Uganda,250,418,457,575,455,721,858,1372,1122,1174,1364,1085,1239,1340,1350,1409,1664,1649,1898,2412
Zambia,143,211,295,308,280,359,499,672,576,613,704,628,652,643,505,441,460,487,537,477
Zimbabwe,184,322,475,484,358,628,923,1049,1057,953,983,1274,1016,914,924,797,779,815,810,749
Middle Africa,1190,1317,1431,2044,1663,2353,3109,5757,5924,6492,7744,7422,9228,9694,8377,9451,10955,13046,14781,15626
Angola,57,87,94,92,59,107,188,272,199,221,173,148,148,187,143,148,154,198,209,176
Cameroon,824,860,791,984,927,1309,1458,2919,3392,3771,3463,4161,4754,3815,3908,3943,4374,4899,4668,4236
Central African Republic,3,4,11,13,6,17,24,51,52,88,107,101,134,116,213,155,234,202,178,304
Chad,24,23,44,47,8,23,31,73,74,96,102,120,171,155,111,119,175,136,205,251
Democratic Republic of Congo,87,123,145,178,110,155,260,738,1129,1261,2122,1764,2424,3731,2792,4347,5345,6791,8709,9941
Equatorial Guinea,D,5,3,8,D,13,10,13,4,16,32,12,13,20,18,15,25,18,20,17
Gabon,4,18,32,41,40,50,66,85,95,82,171,138,204,197,127,167,146,165,150,112
Republic of Congo,190,189,311,677,513,670,1064,1600,972,950,1563,968,1371,1461,1059,552,496,625,632,580
Sao Tome and Principe,1,8,D,4,D,9,8,6,7,7,11,10,9,12,6,5,6,12,10,9
Northern Africa,9832,10988,13303,12888,9620,14308,19380,23034,18349,18467,20065,18466,16966,17238,17696,20220,22529,23254,21192,19885
Algeria,789,906,875,1030,759,805,1115,1300,1036,1037,1485,1305,1364,1369,1241,1669,1775,2180,2139,2123
Egypt,4421,4450,5159,4852,3348,5522,7905,10500,9267,8712,8844,8978,7778,8988,10294,11477,12085,12045,9834,9826
Libya,156,180,223,158,140,185,223,271,186,285,296,355,357,315,376,524,734,642,780,499
Morocco,2970,3614,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013,4399,3656,3336,3605,3710,4586,4229,3077
South Sudan,,,,,,,,,X,X,X,X,-,17,59,74,127,124,160,185
Sudan,1346,1531,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397,2628,2471,1945,2442,3580,3159,3515,3658
Tunisia,150,307,438,540,353,457,495,510,417,410,416,418,440,422,445,429,518,518,535,517
Southern Africa,1608,2888,4192,3962,2305,3473,4681,3339,3121,2844,3335,2929,2812,2961,2774,2814,3096,3227,3197,3187
Botswana,5,13,24,30,27,34,54,53,49,41,55,66,76,80,53,58,61,78,112,72
Eswatini (formerly Swaziland),8,12,18,12,23,15,16,11,13,18,42,22,19,24,15,23,19,20,19,18
Lesotho,5,9,6,13,5,14,12,18,14,16,14,23,25,17,20,13,23,19,24,12
Namibia,13,30,54,46,40,40,63,56,57,46,53,60,43,59,57,44,86,87,130,75
South Africa,1577,2824,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758,2649,2781,2629,2676,2907,3023,2912,3010
Western Africa,15103,18558,21424,22774,20144,25012,31391,43991,35584,41549,46479,38040,37367,41806,39410,35684,33214,38851,40343,37455
Benin,59,62,75,137,76,185,193,275,258,317,401,486,462,415,342,517,466,577,648,573
Burkina Faso,17,48,68,64,60,103,128,221,238,238,416,377,433,558,585,583,575,642,541,525
Cabo Verde,902,1079,868,871,745,1015,1225,1780,2048,1916,2238,1668,1808,1684,1673,1154,1253,2242,2618,1929
Cote d'Ivoire,303,439,596,629,483,666,930,2067,1193,1645,2159,1621,1302,1760,1486,1477,1497,1617,1810,1375
Gambia,183,231,390,343,263,422,581,897,826,739,978,859,972,1159,1018,1111,1142,1247,1134,1023
Ghana,3707,4339,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429,8798,10592,10265,7115,6186,6949,8455,8394
Guinea,5,3,11,16,29,347,495,1110,1088,1735,1725,1379,1555,1656,1518,1375,1389,1501,1348,1282
Guinea-Bissau,134,204,273,289,176,5,26,25,25,17,20,30,29,47,43,30,39,37,48,27
Liberia,1351,1570,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837,4151,4109,3334,3874,3795,3619,4155,3101
Mali,72,109,119,105,124,163,277,408,412,523,576,528,629,734,667,604,587,598,544,488
Mauritania,24,88,117,124,131,170,275,720,651,844,597,495,393,410,354,320,298,317,287,212
Niger,12,30,1330,1263,808,62,126,116,97,107,183,96,96,48,37,71,55,119,116,93
Nigeria,6742,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840,12828,11542,14380,13539,13952
Senegal,368,554,663,530,522,769,913,1367,1024,1149,1524,1285,1424,1615,1340,1273,1244,1533,1470,1420
Sierra Leone,970,1585,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011,1985,1688,1651,1740,1599,1535,2058,1527
Togo,254,386,487,935,1187,2041,1523,1720,1565,1661,1680,1563,1506,1756,1257,1612,1547,1938,1572,1534
Other Africa,,,,,,,,,,5,4,0,0,3,3,3,3,1,0,1
Americas,312160,394779,474112,477092,304990,414523,448689,552056,445806,491745,478040,423731,419998,407172,396605,398069,438435,506901,492726,497860
Caribbean,71350,86055,102830,96026,68549,89042,108470,146606,118950,136948,145959,139877,133608,127391,122313,133843,146640,182049,174514,182341
Anguilla,20,25,55,20,26,22,35,32,25,22,21,19,25,23,22,20,22,20,23,23
Antigua and Barbuda,454,429,461,380,301,414,440,570,415,444,437,359,368,337,344,369,290,324,322,325
Aruba,14,25,29,32,27,31,42,51,55,36,38,49,39,54,45,40,38,23,47,45
Bahamas,398,766,924,808,423,586,698,847,738,682,751,652,668,619,630,654,725,656,725,759
Barbados,715,777,895,813,516,630,846,959,689,585,603,465,455,460,428,384,376,371,373,318
British Virgin Islands,76,67,70,43,43,35,41,47,40,53,46,46,37,39,45,56,38,40,25,37
Cayman Islands,18,31,23,24,35,38,37,65,40,37,45,52,41,44,44,48,53,55,67,47
Cuba,14019,18960,27453,28182,9262,20488,36261,45614,29104,49500,38954,33573,36452,32820,32219,46679,54396,66516,65028,76486
Curacao,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,27,22,35,34,56
Dominica,40,95,93,148,204,132,198,471,428,454,484,366,287,125,244,345,229,298,510,492
Dominican Republic,17811,17465,21195,22515,26159,30506,27503,38068,28024,31879,49414,53870,46109,41566,41311,44577,50610,61161,58520,57413
Grenada,661,655,645,634,481,609,840,1068,751,784,748,664,579,671,687,633,525,585,544,501
Guadeloupe,54,51,84,38,35,59,48,53,D,D,D,D,D,D,D,D,D,D,D,D
Haiti,16514,22337,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582,22111,22818,20351,15274,16967,23584,21824,21360
Jamaica,14693,15949,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825,19662,20705,19400,19026,17642,23350,21905,20347
Martinique,23,20,22,19,14,26,37,30,D,D,D,D,D,D,D,D,D,D,D,D
Montserrat,80,70,61,42,36,33,50,90,66,61,43,27,30,27,-,38,14,14,12,20
Netherlands Antilles,35,53,114,97,59,72,116,100,93,78,97,77,86,106,128,45,22,18,9,7
Saint Kitts and Nevis,463,500,463,342,310,299,342,458,347,363,310,339,350,311,259,263,222,250,238,250
Saint Lucia,529,599,674,583,488,616,832,1212,928,946,1027,872,785,919,853,844,739,777,777,696
Saint Vincent and the Grenadines,442,497,559,480,322,400,625,756,567,568,591,576,468,503,529,448,415,422,361,333
Sint Maarten,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,45,45,42,35,27
Trinidad and Tobago,4259,6635,6618,5738,4138,5384,6568,8854,6829,5937,6256,5435,5023,5214,4724,3988,3212,3469,3100,2758
Turks and Caicos Islands,27,46,33,31,26,28,34,52,31,35,31,29,33,30,50,40,38,39,35,41
U.S. Virgin Islands,5,3,6,9,4,13,8,7,,,,,,,,,,,,
Central America,190492,236738,280886,287391,169939,237698,214908,248765,204566,240829,212788,183071,187153,187081,179752,178455,206330,231877,227166,226377
Belize,572,757,936,966,588,871,876,1252,1073,1077,1041,965,905,847,946,789,772,851,746,632
Costa Rica,883,1310,1733,1591,1246,1755,2278,3109,2540,2090,2384,2164,2135,2020,2114,1966,2029,2224,2184,2171
El Salvador,14581,22543,31089,31060,28231,29807,21359,31782,21127,19659,19909,18806,18667,16256,18260,19273,19487,23449,25109,28326
Guatemala,7294,9942,13496,16178,14386,18920,16818,24133,17908,16182,12187,10467,11092,10341,10224,10238,11773,13002,13198,15638
Honduras,4793,5917,6571,6435,4645,5508,7012,8177,7646,6540,6404,6448,6133,6884,8898,8156,9274,13302,11387,13794
Mexico,147402,173493,205560,218822,115585,175411,161445,173749,148640,189989,164920,139120,143446,146406,135028,134052,158619,174534,170581,161858
Nicaragua,13327,20947,19634,10659,4094,4009,3305,4145,3716,3614,4137,3565,3401,3046,3048,2886,3324,3486,3072,3061
Panama,1640,1829,1867,1680,1164,1417,1815,2418,1916,1678,1806,1536,1374,1281,1234,1095,1052,1029,889,897
Northern America,8874,16163,21913,19524,11474,15726,22177,18700,15774,15417,16429,13601,13140,13296,13588,12050,13155,13360,11961,10269
Bermuda,63,71,98,108,92,100,116,160,108,92,108,72,71,85,88,106,112,99,68,65
Canada,8782,16057,21752,19352,11350,15569,21878,18207,15495,15109,16140,13328,12800,12932,13181,11586,12673,12793,11484,9898
United States,29,35,63,64,32,57,183,333,171,216,181,201,269,279,319,358,370,468,409,306
South America,41444,55823,68483,74151,55028,72057,103134,137985,106516,98548,102858,87177,86095,79401,80945,73715,72308,79608,79076,78869
Argentina,1387,2317,3297,3661,3129,4805,7081,7327,5645,5353,5780,4399,4473,4359,4372,3874,3730,4091,3482,3080
Bolivia,1444,1761,1819,1664,1376,1768,2197,4025,2590,2436,2837,2253,2173,1948,2071,1719,1626,1595,1510,1523
Brazil,3887,6943,9448,9439,6331,10556,16662,17903,14295,12195,14701,12258,11763,11441,11033,10429,11424,13812,14989,15394
Chile,1085,1700,1921,1839,1310,1810,2404,2774,2274,2017,2250,1950,1853,1673,1736,1581,1596,1698,1625,1519
Colombia,9928,14427,16627,18758,14720,18846,25566,43144,33187,30213,27849,22406,22635,20931,21131,18175,17316,18610,17956,17545
Ecuador,8882,7651,9665,10561,7066,8626,11608,17489,12248,11663,12128,11492,11103,9342,10591,10960,10187,10757,10594,11472
French Guiana,5,13,8,6,4,D,8,15,D,D,D,D,D,D,D,D,D,D,D,D
Guyana,3290,5719,8279,9938,6809,6351,9317,9552,5726,6823,6670,6749,6599,5683,5897,6267,5543,5771,5468,5165
Paraguay,216,338,401,356,207,328,516,719,545,481,530,467,500,467,448,391,382,434,391,389
Peru,8414,9579,11062,11918,9409,11794,15676,21718,17699,15184,16957,14247,14064,12609,12564,10606,10148,10940,10115,9878
Suriname,141,256,245,247,180,166,300,314,197,218,227,216,196,187,178,158,134,156,136,182
Uruguay,267,426,541,536,469,787,1154,1664,1418,1451,1775,1331,1553,1374,1352,1128,1078,972,1001,960
Venezuela,2498,4693,5170,5228,4018,6220,10645,11341,10692,10514,11154,9409,9183,9387,9572,8427,9144,10772,11809,11762
Other Americas,,,,,,,,,,3,6,5,2,3,7,6,2,7,9,4
Asia,203518,270956,357160,349723,250448,342930,411722,440333,397834,399027,413312,422063,451593,429599,400548,430508,419297,462299,424743,397187
Eastern Asia,61101,83097,107239,106323,69809,96334,118620,131986,119033,127068,109532,109290,125401,116986,109383,109930,104862,117316,103469,95129
China (excl. Hong Kong and Taiwan),32159,45585,56267,61082,40568,55494,69933,87307,76655,80271,64238,70863,87016,81784,71798,76089,74558,81772,71565,65214
Hong Kong,4910,5407,8300,6075,3574,3951,3705,3256,3527,3373,2651,2432,2306,2104,2226,2278,2085,2510,2415,2075
Japan,4202,7049,9578,8248,5971,7697,8768,8265,6748,6821,7690,6264,6161,6061,5925,5545,5395,5207,4635,4317
Macau,294,270,340,284,244,192,133,189,178,205,158,143,130,120,106,105,99,109,109,91
Mongolia,41,46,102,135,153,229,323,497,530,659,831,594,774,691,729,651,644,750,661,636
North Korea,,,,,,,,,0,0,67,35,36,49,48,142,55,47,32,41
Taiwan,6700,9019,12120,9775,6917,9005,9196,8086,8990,9073,8038,6732,6154,5331,5385,4697,4888,5120,4858,5079
South Korea,12795,15721,20532,20724,12382,19766,26562,24386,22405,26666,25859,22227,22824,20846,23166,20423,17138,21801,19194,17676
South-central Asia,61391,78608,112872,112787,79874,111826,140938,124157,115751,126701,132509,140785,147570,141129,139754,162634,144996,154870,149096,138365
Afghanistan,877,1011,1202,1759,1252,2137,4749,3417,1753,2813,3165,2017,1648,1617,2196,10527,8328,12513,19538,12935
Bangladesh,6038,7204,7152,5483,4616,8061,11487,14644,12074,11753,16651,14819,16707,14705,12099,14645,13570,18723,14693,15717
Bhutan,4,D,5,14,15,17,30,78,52,42,594,6109,10137,10198,8954,7298,6325,4217,2940,2350
India,30157,41903,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162,69013,66434,68458,77908,64116,64687,60394,59821
Iran,7176,8487,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182,14822,12916,12863,11615,13114,13298,13791,10116
Kazakhstan,723,1493,2310,2315,1740,1906,2223,2073,1604,1630,1562,1282,1235,1202,1241,1221,1201,1310,1377,1378
Kyrgyzstan,189,388,582,473,356,439,656,785,597,632,574,507,542,648,652,707,790,847,715,908
Maldives,0,D,9,9,15,7,6,D,9,D,6,5,3,3,5,13,8,11,5,D
Nepal,453,616,945,1137,2095,2878,3158,3733,3472,4093,4514,7115,10166,11312,13046,12357,12926,12851,11610,11953
Pakistan,13485,14504,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258,15546,14740,13251,18612,18057,19313,17408,15802
Sri Lanka,899,1118,1505,1529,1246,1431,1894,2191,1831,1935,2009,2036,2053,1994,1847,1767,1763,1913,1627,1594
Tajikistan,104,156,187,181,137,167,207,239,172,231,265,299,382,411,550,516,595,593,652,893
Turkmenistan,65,97,94,93,84,117,148,248,217,274,290,224,260,223,210,254,226,235,251,286
Uzbekistan,1221,1631,2031,2317,1445,1995,2887,4015,4665,6375,5467,4770,5056,4726,4382,5194,3977,4359,4095,4612
South-eastern Asia ,59632,81348,103907,99751,78422,105161,114203,138444,126871,107969,125338,120840,127193,121834,111306,106527,116040,125225,118192,104517
Brunei,16,16,27,28,20,22,49,25,32,18,26,20,25,19,21,25,21,31,24,29
Burma,1200,1201,1373,1356,1193,1379,2095,4562,3130,3403,13621,12925,16518,17383,12565,11144,12808,13065,12897,8182
Cambodia,1394,2138,2462,2800,2263,3553,4022,5773,4246,3713,3771,2986,2745,2473,2624,2536,1868,3173,4056,3187
Indonesia,1186,1767,2525,2418,1805,2419,3924,4868,3716,3606,3679,3032,2856,2603,2731,2139,2084,2129,1914,1756
Laos,846,1358,1398,1245,896,1147,1242,2892,2575,2198,1688,1200,956,949,923,806,917,856,685,863
Malaysia,991,1551,2439,2124,1200,1987,2632,2281,2149,1945,2014,1714,2273,2605,2477,2622,2749,3382,4109,3051
Philippines,30943,42343,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173,57011,57327,54446,49996,56478,53287,49147,47258
Singapore,355,668,1100,1033,582,966,1204,997,985,922,832,774,690,712,835,779,781,812,818,801
Thailand,2366,3753,4245,4144,3126,4318,5505,11749,8751,6637,10444,9384,9962,9459,7583,6197,7502,7039,6311,5556
Vietnam,20335,26553,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632,34157,28304,27101,30283,30832,41451,38231,33834
Western Asia,21394,27903,33142,30862,22343,29609,37961,45746,36179,37285,45932,51148,51429,49648,40103,51416,53396,64887,53985,59169
Armenia,1250,1253,1762,1800,1287,1833,2591,6317,4351,3586,3442,2979,2983,2681,2722,2913,2962,3543,3437,3217
Azerbaijan,738,1036,1152,1164,746,969,1523,2371,1166,1071,834,781,728,663,637,672,676,784,881,1015
Bahrain,70,106,118,85,59,116,140,148,133,96,120,104,119,104,115,122,145,138,130,143
Cyprus,106,160,216,158,123,143,196,180,137,141,142,122,101,107,126,129,113,131,117,120
Georgia,310,493,786,886,735,964,1389,2003,1554,1620,1578,1518,1490,1341,1368,1240,1410,1635,1629,1643
Iraq,3360,5087,4965,5174,2450,3494,4077,4337,3765,4795,12110,19855,21133,20369,9552,19153,21107,18904,14203,14351
Israel,1847,2783,3744,3826,2741,4160,5755,5943,4496,5851,5612,4515,3826,4153,3996,3805,3965,4142,3802,3706
Jordan,3269,3900,4572,3964,2927,3431,3748,4038,3917,3936,4282,3868,3876,4099,4188,5187,4664,5269,5264,5322
Kuwait,801,1015,1258,1056,707,1091,1152,1230,1017,1104,1124,1037,973,1044,937,1057,1055,1186,1177,1090
Lebanon,3033,3662,4579,3935,2956,3818,4282,4083,4267,4254,3831,3487,3295,2879,2783,3245,2813,2971,2818,2581
Oman,40,51,55,61,76,122,101,155,103,70,74,63,60,74,73,90,85,116,104,110
Qatar,78,97,125,108,72,125,174,226,138,151,134,148,193,141,191,202,229,272,224,236
Saudi Arabia,759,1063,1178,1014,735,906,1210,1542,1171,1194,1418,1263,1396,1343,1463,1696,1744,2117,2135,2100
Syria,2048,2367,3350,2557,1938,2256,2831,2918,2385,2641,2442,2555,2785,3014,3366,3540,3840,4800,5877,14686
Turkey,2215,2606,3215,3375,3029,3835,4614,4941,4425,4210,4958,4483,4403,4162,4144,3834,4201,4469,4844,5585
United Arab Emirates,310,435,460,472,380,586,812,1006,758,693,697,779,707,854,910,1039,1193,1370,1314,1379
Yemen,1160,1789,1607,1227,1382,1760,3366,4308,2396,1872,3134,3591,3361,2620,3532,3492,3194,13040,6029,1885
Other Asia,,,,,,,,,,4,1,0,0,2,2,1,3,1,1,7
Europe,87709,124438,165496,164285,93895,124785,164880,146179,106559,103782,105476,88801,83850,81671,86556,83266,85803,93567,84335,80024
Eastern Europe,49789,63486,74942,73759,50144,62609,82589,76267,52582,50973,49902,40908,39958,37493,39021,36375,35851,39887,36367,36154
Belarus,1320,2170,2901,2923,1858,2255,3503,3086,2328,2390,2407,2038,1964,1659,1970,2015,1994,2127,1919,1951
Bulgaria,4171,4917,4400,3608,3825,4253,5635,4828,3981,2960,3133,2570,2661,2440,2844,2981,2688,2670,2184,1798
Czechia,145,244,307,267,267,457,476,344,287,227,146,190,303,677,676,606,637,650,582,534
Czechoslovakia (former),318,665,863,897,543,673,784,1442,927,862,865,750,466,159,74,74,58,62,52,51
Hungary,694,1023,1263,1274,1021,1272,1567,1704,1266,1127,1314,1022,1044,1054,1052,996,1095,1048,972,917
Poland,8773,10090,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643,6863,6300,6430,5689,5275,5603,4845,4357
Republic of Moldova,753,1251,2068,2103,1151,1507,3506,3036,1356,1692,2295,1981,2258,2021,2485,2341,2496,2929,2480,2206
Romania,5678,6863,6628,4887,3655,4571,7103,7137,5802,4930,4910,4003,3882,3748,3773,3246,3376,3554,2953,2448
Russia,12321,16940,20313,20771,13935,17410,18055,13159,9426,11695,8238,6718,7944,9969,9753,9079,8799,9297,8918,8621
Slovakia,492,549,809,725,674,800,965,1111,763,653,706,538,594,528,507,460,424,483,388,370
Soviet Union (former),5022,3263,2707,2403,1072,929,2899,6229,5090,5270,5911,4978,3687,1296,1264,1136,1022,1042,939,1022
Ukraine,10102,15511,20914,21190,11633,14156,22745,17140,11001,10813,11223,8477,8292,7642,8193,7752,7987,10422,10135,11879
Northern Europe,12065,19471,26140,23442,15495,22587,28878,25556,20871,19813,21882,18430,16726,17269,18516,17356,18114,18382,15839,14531
Denmark,367,537,706,609,405,566,718,699,517,498,603,518,459,459,506,514,609,521,461,353
Estonia,142,239,348,343,235,322,438,423,368,287,282,260,191,227,211,220,189,211,176,151
Finland,307,377,497,426,241,388,574,542,426,302,423,397,363,348,331,350,407,489,439,442
Iceland,79,129,134,93,97,105,135,145,95,122,131,105,90,103,139,86,104,97,86,89
Ireland,804,1296,1505,1398,983,1531,2088,1906,1503,1465,1637,1507,1371,1514,1626,1605,1607,1759,1485,1401
Latvia,444,548,711,683,458,605,768,892,568,455,444,435,426,436,424,384,480,391,359,356
Lithuania,1147,1349,1732,1786,2266,2480,2417,1885,1361,967,1069,985,936,924,854,747,750,735,645,658
Norway,307,459,547,431,320,405,423,481,343,350,407,334,339,276,335,271,310,362,290,284
Sweden,821,1264,1682,1376,963,1270,1517,1376,1145,1019,1138,1097,979,968,1106,954,1066,1144,950,889
United Kingdom,7647,13273,18278,16297,9527,14915,19800,17207,14545,14348,15748,12792,11572,12014,12984,12225,12592,12673,10948,9908
Southern Europe,16401,26995,45699,50545,18438,25677,35410,27760,18789,17883,17999,15579,14656,14501,15578,16705,18575,21592,19997,18059
Albania,3695,4755,4358,3765,3362,3840,5947,7914,5737,5754,5137,4711,3612,3364,3186,3828,4653,5773,5722,5049
Bosnia and Herzegovina,5412,11525,23594,25329,6155,10552,14074,3789,1569,1491,1501,946,878,815,697,693,859,971,846,682
Croatia,580,1058,2853,3798,1153,1511,1780,945,482,455,496,357,349,336,353,297,348,388,375,286
Greece,719,950,1155,1009,651,769,1070,1124,882,769,798,745,949,1054,1361,1235,1211,1451,1314,1214
Italy,1512,2448,3096,2578,1644,2346,3066,3215,2569,2514,2892,2579,2443,2673,2960,3298,3544,4078,3655,3329
Kosovo,-,-,-,-,-,-,-,-,X,-,-,355,670,782,839,758,814,1020,1014,886
Macedonia,569,790,921,821,653,775,1070,1317,1227,1107,1128,963,1078,906,895,960,1060,1262,1027,1082
Malta,43,54,57,44,37,57,74,70,53,66,58,74,51,62,43,39,58,65,75,58
Montenegro,,,,,,,,,-,-,-,120,204,265,265,289,251,387,323,299
Portugal,1058,1343,1609,1313,808,1069,1125,1409,1019,772,946,755,821,811,918,892,857,1006,939,889
Serbia,,,,,,,,,-,-,-,20,244,704,866,1143,1278,1351,1410,1217
Serbia and Montenegro (former),1886,2742,6203,10387,2994,3331,5202,5891,3586,3255,3166,2196,1398,801,653,267,232,202,144,132
Slovenia,58,76,142,140,64,88,114,115,87,79,108,74,69,86,62,78,107,119,108,95
Spain,869,1254,1711,1361,917,1339,1888,1971,1578,1621,1769,1684,1890,1842,2480,2928,3303,3519,3045,2841
Western Europe,9454,14486,18715,16539,9818,13912,18003,16596,14317,15106,15681,13871,12499,12405,13434,12823,13251,13695,12124,11268
Austria,230,405,522,483,295,402,532,524,485,443,512,442,424,407,415,438,474,432,387,401
Belgium,426,670,814,769,455,638,859,716,638,642,686,592,567,574,675,632,662,691,625,537
France,2196,3442,4569,3797,2375,3595,4399,4258,3494,4935,4569,3919,3653,3862,4425,4284,4693,5159,4782,4276
Germany,5166,7565,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888,6125,5812,6032,5584,5436,5306,4662,4443
Luxembourg,11,26,34,32,16,13,35,28,39,28,30,22,24,19,40,26,27,34,33,30
Monaco,5,12,9,17,D,7,7,D,6,7,4,12,6,5,8,8,10,11,14,13
Netherlands,773,1337,1679,1549,981,1303,1815,1651,1368,1240,1499,1321,1085,1091,1142,1195,1309,1319,1056,998
Switzerland,647,1029,1298,1004,632,855,1092,983,705,720,798,675,615,635,697,656,640,743,565,570
Other Europe,,,,,,,,,,7,12,13,11,3,7,7,12,11,8,12
Oceania,3636,5089,6052,5482,4335,5967,6526,7372,6090,5263,5578,5345,4980,4742,5277,5112,5404,5588,5071,4653
Australia and New Zealand,1625,3008,4016,3674,2713,3735,4486,4349,3565,3357,3569,3431,3146,3228,3680,3605,3889,4085,3704,3412
Australia,1103,2044,2811,2557,1836,2604,3193,3249,2518,2464,2622,2512,2343,2414,2759,2809,3034,3239,2906,2693
New Zealand,522,964,1205,1117,877,1131,1293,1100,1047,893,947,919,803,814,921,796,855,846,798,719
Melanesia,1616,1514,1491,1246,1134,1618,1474,2157,1683,1203,1226,1237,1066,877,928,826,895,894,827,763
Fiji,1599,1483,1452,1208,1095,1593,1422,2115,1637,1176,1194,1201,1041,853,895,802,875,866,805,730
New Caledonia,3,3,6,5,D,D,5,7,5,5,13,6,5,3,6,6,9,5,4,6
Papua New Guinea,14,21,26,26,34,19,44,30,31,15,19,30,20,21,27,18,11,23,18,27
Solomon Islands,D,7,7,7,5,6,3,5,10,7,D,D,D,D,D,D,D,D,D,D
Micronesia ,0,11,9,10,16,11,18,28,28,23,42,34,16,29,20,23,25,34,19,26
Kiribati,0,3,0,D,4,D,4,8,10,4,10,6,D,6,D,6,4,9,D,D
"Micronesia, Federated States",D,5,9,D,4,5,6,12,7,13,16,10,9,13,4,5,6,11,6,19
Palau,D,3,D,10,8,6,8,8,11,6,16,18,7,10,16,12,15,14,13,7
Polynesia,395,556,536,552,472,603,548,838,814,671,726,629,734,594,631,639,580,561,499,437
American Samoa,11,7,28,26,16,12,15,28,11,14,19,14,D,-,D,-,-,-,D,D
French Polynesia,9,13,16,12,14,13,19,37,27,26,30,16,21,30,-,24,14,27,20,10
Marshall Islands,3,3,D,26,26,48,32,53,48,39,48,37,38,50,46,56,32,32,23,23
Samoa,91,184,165,157,178,203,173,283,290,227,250,219,267,238,237,239,207,219,194,179
Tonga,281,349,327,331,238,327,309,437,438,365,379,343,408,276,348,320,327,283,262,225
Other Oceania,,,,,,,,,,9,15,14,18,14,18,19,15,14,22,15
All other countries,33,46,49,61,35,43,65,53,23,,,,,,,,,,,
Unknown,1156,1172,2311,2622,1201,3227,5303,2734,1394,1394,1366,1330,1245,1206,3263,1150,677,1724,1468,1151
